name,accessibility,district
中国科学技术大学附属第一医院(南区),正常可达,未知
蜀山区荷叶地街道社区卫生服务中心,正常可达,未知
笔架山街道社区卫生服务中心,正常可达,未知
安徽省立医院南区2期,正常可达,未知
安徽医科大学第二附属医院,正常可达,未知
蜀山区南七街道社区卫生服务中心,正常可达,未知
高新区兴园社区卫生服务中心,正常可达,未知
合肥安中中医医院,正常可达,未知
蜀山区西园街道社区卫生服务中心,正常可达,未知
中国人民解放军联勤保障部队第九〇一医院,正常可达,未知
合肥光明医院,正常可达,未知
合肥市第三人民医院望江路院区,正常可达,未知
稻香村街道社区卫生服务中心,正常可达,未知
合肥长淮中医医院,正常可达,未知
安徽医科大学第一附属医院绩溪路院区,正常可达,未知
安徽中医药大学第一附属医院,正常可达,未知
高新区天乐社区卫生服务中心,正常可达,未知
安徽省红十字会医院,正常可达,未知
中国科学技术大学东校区校医院,正常可达,未知
嘉和苑社区卫生服务站,正常可达,未知
莲花社区卫生服务中心,正常可达,未知
上海中医药大学附属曙光医院安徽医院,正常可达,未知
蜀山区荷叶地社区医院,正常可达,未知
国药中铁中心医院,正常可达,未知
合肥经济技术开发区芙蓉社区卫生服务中心,正常可达,未知
蜀山区笔架山街道翠庭园社区卫生服务站,正常可达,未知
合肥皓康医院,正常可达,未知
蜀山区南七街道洪岗社区卫生服务站,正常可达,未知
莲花朝霞社区卫生服务站,正常可达,未知
江淮汽车集团医院,正常可达,未知
三里庵街道社区卫生服务中心,正常可达,未知
包河区常青街道社区卫生服务中心,正常可达,未知
井岗镇十里庙社区卫生服务站,正常可达,未知
西园街道汉嘉社区卫生服务站,正常可达,未知
安徽叉车集团有限责任公司职工医院,正常可达,未知
合肥市包河区常青街道薛河湾社区卫生服务站,正常可达,未知
高新区蜀南庭苑社区卫生服务中心,正常可达,未知
武警医院安徽省总队医院北区,正常可达,未知
蜀山区五里墩街道社区卫生服务中心,正常可达,未知
中国科学技术大学附属第一医院(安徽省立医院),正常可达,未知
安徽中医药大学第一附属医院(省中医院)西区,正常可达,未知
合肥仁爱中医医院,正常可达,未知
常青街道金寨南路社区卫生服务站,正常可达,未知
合肥市第一人民医院本部,正常可达,未知
安徽医科大学第一附属医院北区(屯溪路院区)(老院区),正常可达,未知
蜀山区琥珀街道社区卫生服务中心(新址),正常可达,未知
省人大医院,正常可达,未知
蜀山区南七街道新华社区卫生服务站,正常可达,未知
西园街道安居苑社区卫生服务站,正常可达,未知
蜀山区社区卫生服务中心,正常可达,未知
包河区芜湖路街道社区卫生服务中心,正常可达,未知
广瑞医疗·新园中医综合医院,正常可达,未知
稻香村街道合作化南路社区卫生服务站,正常可达,未知
芜湖路街道友谊社区卫生服务站,正常可达,未知
包河区常青街道仰光社区卫生服务站,正常可达,未知
肥西县桃花镇染坊社区卫生服务站,正常可达,未知
