name,type,district,accessibility,travel_time_min,dist_to_fault_km
合肥市强大化工有限公司,危险源,蜀山区,正常可达,1.27,14.19
安徽江南化工股份有限公司,危险源,蜀山区,正常可达,0.0,11.28
合肥振达化工有限公司,危险源,肥西县,正常可达,1.56,15.62
安徽瑞辰丰源化工有限公司,危险源,庐阳区,不可达,999.0,3.87
安徽华尔泰化工股份有限公司,危险源,蜀山区,正常可达,4.18,10.83
国超化工,危险源,包河区,不可达,999.0,4.28
合肥三贡化工有限公司,危险源,瑶海区,不可达,999.0,2.14
合肥超宇化工有限公司,危险源,瑶海区,不可达,999.0,1.32
合肥飞建化工有限责任公司,危险源,瑶海区,不可达,999.0,2.9
合肥振源化工有限公司,危险源,瑶海区,不可达,999.0,4.13
安徽辰可化工有限公司,危险源,包河区,正常可达,2.39,12.62
化工厂(公交站),危险源,瑶海区,不可达,999.0,0.54
化工厂(快速公交站),危险源,瑶海区,不可达,999.0,0.56
金皖化工厂,危险源,瑶海区,不可达,999.0,3.22
安徽金顺化工有限公司,危险源,瑶海区,不可达,999.0,1.66
八通水玻璃厂,危险源,肥东县,不可达,999.0,1.93
合肥聚炎热能设备有限公司,危险源,肥东县,正常可达,0.0,2.21
合肥康达化工有限公司,危险源,肥东县,不可达,999.0,7.6
合肥益丰化工有限公司,危险源,肥东县,不可达,999.0,0.95
合肥先微气体有限公司(肥东工厂),危险源,肥东县,不可达,999.0,0.87
合肥市森瑞化工有限责任公司,危险源,肥东县,不可达,999.0,0.3
中盐安徽天辰化工有限公司,危险源,肥东县,不可达,999.0,0.41
广钢气体合肥电子特气项目部,危险源,蜀山区,不可达,999.0,2.18
福凯沙石场,危险源,肥西县,正常可达,1.38,24.31
合肥天威石化有限公司,危险源,蜀山区,正常可达,1.61,14.73
合肥珺豪园林绿化工程有限公司,危险源,蜀山区,正常可达,8.55,15.01
合肥雅翔金属制品有限公司,危险源,长丰县,不可达,999.0,0.09
合肥大手笔金属制品有限公司,危险源,肥西县,正常可达,1.95,19.06
安徽福禧化工有限公司,危险源,蜀山区,正常可达,4.3,10.4
合肥普纳斯化工科技有限公司,危险源,蜀山区,正常可达,0.0,11.28
安徽博讯园林绿化工程有限公司,危险源,蜀山区,正常可达,0.0,8.07
安徽堎东绿化工程有限公司,危险源,蜀山区,正常可达,0.0,7.88
安徽捷成电气自动化工程有限公司,危险源,肥西县,正常可达,0.65,15.16
合肥宏伟园林绿化工程有限公司,危险源,肥西县,正常可达,0.97,24.1
中石化第四建设有限公司,危险源,肥西县,正常可达,1.81,23.37
合肥市松磊园林绿化工程有限公司,危险源,肥西县,正常可达,1.5,22.34
安徽创景园林绿化工程有限公司,危险源,蜀山区,正常可达,5.38,8.98
安徽美程化工有限公司,危险源,蜀山区,正常可达,4.8,6.4
安徽天澜园林绿化工程有限公司,危险源,蜀山区,正常可达,2.76,14.45
安徽施泰化工有限公司,危险源,蜀山区,不可达,999.0,5.25
安徽乾忱化工科技有限公司,危险源,蜀山区,不可达,999.0,4.32
安徽万晟达智能化工程有限公司,危险源,长丰县,不可达,999.0,0.55
合肥德研化工科技有限公司,危险源,庐阳区,不可达,999.0,1.97
合肥沐燚金属科技有限公司,危险源,蜀山区,正常可达,1.15,7.94
悦汐影视文化工作室,危险源,蜀山区,正常可达,2.49,7.25
安徽拓孚化工有限公司,危险源,蜀山区,正常可达,0.54,8.15
合肥中宏化工有限公司,危险源,蜀山区,正常可达,3.11,12.7
安徽德利来化工科技有限公司,危险源,蜀山区,正常可达,0.71,8.83
安徽德创净化工程公司,危险源,蜀山区,正常可达,0.71,8.85
安徽双佳净化工程有限公司,危险源,肥西县,正常可达,2.9,20.93
科林尔净化工程有限公司,危险源,庐阳区,不可达,999.0,3.45
合肥胜峰化工仪器有限公司,危险源,庐阳区,不可达,999.0,3.82
安徽化工院检测评价科技有限公司,危险源,庐阳区,不可达,999.0,1.82
合肥信立化工有限公司,危险源,蜀山区,不可达,999.0,4.79
安徽唯真化工进出口有限公司,危险源,包河区,不可达,999.0,4.11
中化化肥有限公司安徽分公司,危险源,包河区,正常可达,0.85,7.61
安徽亨通金属制品有限公司,危险源,包河区,不可达,999.0,4.27
合肥合胜金属科技有限公司,危险源,瑶海区,不可达,999.0,2.15
合肥恒大园林绿化工程有限公司,危险源,瑶海区,不可达,999.0,0.07
中化学东华安徽新材料有限公司碳基高性能材料产业示范项目,危险源,瑶海区,不可达,999.0,3.7
合肥跃强金属制品有限公司,危险源,包河区,正常可达,0.0,3.16
安徽巨耀净化工程有限公司,危险源,瑶海区,不可达,999.0,1.46
合肥跃强金属制品有限公司,危险源,包河区,不可达,999.0,4.5
安徽云燕化工科技有限公司,危险源,瑶海区,不可达,999.0,1.07
华友化工国际贸易(上海)有限公司,危险源,瑶海区,正常可达,0.38,6.57
中国化学土木工程华东公司安徽区域经营中心,危险源,包河区,正常可达,0.0,5.73
安徽圣帆化工有限公司,危险源,瑶海区,不可达,999.0,5.2
安徽翠海园林绿化工程有限公司,危险源,包河区,正常可达,2.93,12.21
合肥精英化工产品有限公司,危险源,瑶海区,不可达,999.0,0.79
合肥倍力得金属制品有限公司,危险源,包河区,不可达,999.0,4.89
合肥勇银石油化工有限公司,危险源,包河区,不可达,999.0,5.25
安徽友昌化工有限公司,危险源,瑶海区,正常可达,3.12,7.84
恒吉食品化工商贸,危险源,瑶海区,不可达,999.0,0.54
安徽祥能石油化工有限公司,危险源,瑶海区,不可达,999.0,0.2
合肥必胜必和化工建材有限公司,危险源,肥东县,不可达,999.0,2.07
合肥奥森金属制品有限公司,危险源,肥东县,不可达,999.0,1.94
合肥昊艺金属制品有限公司(泗水路),危险源,肥东县,不可达,999.0,3.93
合肥洁新净化工程有限公司,危险源,肥东县,不可达,999.0,1.77
安徽美信净化工程有限公司,危险源,肥东县,不可达,999.0,1.84
合肥金园地景观绿化工程有限公司,危险源,肥东县,不可达,999.0,2.58
安徽布尔自动化工程有限公司,危险源,蜀山区,正常可达,1.48,12.36
安徽诚正达化工有限公司,危险源,瑶海区,不可达,999.0,0.64
中铁四局集团有限公司新站高新区综合水质净化工程项目部,危险源,瑶海区,不可达,999.0,2.5
安徽茁禾净化工程有限公司,危险源,瑶海区,正常可达,0.0,5.95
合肥忠豪石油化工有限公司,危险源,瑶海区,不可达,999.0,3.06
合肥汇智化工技术有限公司,危险源,蜀山区,正常可达,5.14,9.53
安徽嘉力德冶金设备制造有限公司,危险源,肥东县,不可达,999.0,0.1
合肥晓坤机电工程有限公司,危险源,肥西县,正常可达,2.29,19.95
合肥泰华金属制造有限责任公司C区,危险源,瑶海区,不可达,999.0,0.97
安徽驰尖金属制品有限公司,危险源,瑶海区,不可达,999.0,4.28
安徽百盈金属制品有限公司,危险源,庐阳区,不可达,999.0,2.0
安徽中正化工有限公司,危险源,庐阳区,不可达,999.0,0.49
国石化工设计院(安徽省)有限公司,危险源,包河区,不可达,999.0,4.46
联特金属制品有限公司,危险源,长丰县,不可达,999.0,2.05
中国中冶,危险源,包河区,正常可达,3.7,10.37
安徽御徽金属制品有限公司,危险源,瑶海区,不可达,999.0,0.55
合肥中星金属制品有限公司,危险源,包河区,正常可达,0.0,3.16
合肥联涂化工产品有限公司仓库,危险源,肥东县,不可达,999.0,1.27
中铁十二局集团电气化工程有限公司新桥机场S1线供电项目,危险源,长丰县,不可达,999.0,2.52
合肥英松臻品金属制品有限公司(暂停营业),危险源,肥东县,正常可达,3.37,7.06
安徽和世金属有限公司,危险源,瑶海区,正常可达,1.02,6.63
安徽省中龙金属制品有限公司,危险源,长丰县,不可达,999.0,6.87
勤石化工原料有限公司,危险源,包河区,正常可达,0.96,5.64
中化学建设投资集团安徽工程有限公司五里庙复建点项目部,危险源,包河区,不可达,999.0,2.01
安徽天佰石化有限公司,危险源,瑶海区,不可达,999.0,5.17
合肥风雨辉煌园林绿化工程有限公司,危险源,肥西县,正常可达,0.0,25.64
