name,accessibility,district
中国科学技术大学附属第一医院(南区),正常可达,蜀山区
蜀山区荷叶地街道社区卫生服务中心,正常可达,蜀山区
笔架山街道社区卫生服务中心,正常可达,蜀山区
安徽省立医院南区2期,正常可达,蜀山区
安徽医科大学第二附属医院,正常可达,蜀山区
蜀山区南七街道社区卫生服务中心,正常可达,蜀山区
高新区兴园社区卫生服务中心,正常可达,蜀山区
合肥安中中医医院,正常可达,蜀山区
蜀山区西园街道社区卫生服务中心,正常可达,蜀山区
中国人民解放军联勤保障部队第九〇一医院,正常可达,蜀山区
合肥光明医院,正常可达,蜀山区
合肥市第三人民医院望江路院区,正常可达,包河区
稻香村街道社区卫生服务中心,正常可达,蜀山区
合肥长淮中医医院,正常可达,蜀山区
安徽医科大学第一附属医院绩溪路院区,正常可达,蜀山区
安徽中医药大学第一附属医院,正常可达,蜀山区
高新区天乐社区卫生服务中心,正常可达,蜀山区
安徽省红十字会医院,正常可达,蜀山区
中国科学技术大学东校区校医院,正常可达,包河区
嘉和苑社区卫生服务站,正常可达,蜀山区
莲花社区卫生服务中心,正常可达,蜀山区
上海中医药大学附属曙光医院安徽医院,正常可达,蜀山区
蜀山区荷叶地社区医院,正常可达,蜀山区
国药中铁中心医院,正常可达,包河区
合肥经济技术开发区芙蓉社区卫生服务中心,正常可达,蜀山区
蜀山区笔架山街道翠庭园社区卫生服务站,正常可达,蜀山区
合肥皓康医院,正常可达,蜀山区
蜀山区南七街道洪岗社区卫生服务站,正常可达,蜀山区
莲花朝霞社区卫生服务站,正常可达,蜀山区
江淮汽车集团医院,正常可达,包河区
三里庵街道社区卫生服务中心,正常可达,蜀山区
包河区常青街道社区卫生服务中心,正常可达,包河区
井岗镇十里庙社区卫生服务站,正常可达,蜀山区
西园街道汉嘉社区卫生服务站,正常可达,蜀山区
安徽叉车集团有限责任公司职工医院,正常可达,蜀山区
合肥市包河区常青街道薛河湾社区卫生服务站,正常可达,包河区
高新区蜀南庭苑社区卫生服务中心,正常可达,蜀山区
武警医院安徽省总队医院北区,正常可达,庐阳区
蜀山区五里墩街道社区卫生服务中心,正常可达,蜀山区
中国科学技术大学附属第一医院(安徽省立医院),正常可达,庐阳区
安徽中医药大学第一附属医院(省中医院)西区,正常可达,蜀山区
合肥仁爱中医医院,正常可达,包河区
常青街道金寨南路社区卫生服务站,正常可达,包河区
合肥市第一人民医院本部,不可达,庐阳区
安徽医科大学第一附属医院北区(屯溪路院区)(老院区),不可达,包河区
蜀山区琥珀街道社区卫生服务中心(新址),正常可达,蜀山区
省人大医院,正常可达,包河区
蜀山区南七街道新华社区卫生服务站,正常可达,蜀山区
西园街道安居苑社区卫生服务站,正常可达,蜀山区
蜀山区社区卫生服务中心,正常可达,蜀山区
包河区芜湖路街道社区卫生服务中心,不可达,包河区
广瑞医疗·新园中医综合医院,正常可达,肥西县
稻香村街道合作化南路社区卫生服务站,正常可达,蜀山区
芜湖路街道友谊社区卫生服务站,正常可达,包河区
包河区常青街道仰光社区卫生服务站,正常可达,包河区
肥西县桃花镇染坊社区卫生服务站,正常可达,肥西县
天乐社区卫生服务中心狂犬病暴露预防处置门诊,正常可达,蜀山区
合肥高新区江河社区卫生服务中心,正常可达,蜀山区
井岗镇蜀山经济开发区阳光社区卫生服务站,正常可达,蜀山区
同安街道社区卫生服务中心,正常可达,包河区
海恒社区卫生服务中心,正常可达,蜀山区
合肥瞬至医院,正常可达,蜀山区
常青街道社区医院,正常可达,包河区
望湖社区卫生服务中心,正常可达,包河区
安徽省创面与显微外科技术研究院附属医院,正常可达,包河区
三里庵街道二里街社区卫生服务站,正常可达,蜀山区
蜀山区南七街道社区卫生服务中心口腔诊疗中心,正常可达,蜀山区
翡翠医院,正常可达,肥西县
荷叶地街道金荷社区卫生服务站,正常可达,蜀山区
庐阳区三孝口街道社区卫生服务中心,正常可达,庐阳区
安徽医科大学医院,正常可达,蜀山区
蜀山区琥珀街道奥林花园社区卫生服务站,正常可达,蜀山区
合肥市高新区锦绣怡园社区卫生服务站,正常可达,肥西县
包河区望湖街道银杏苑社区卫生服务站,正常可达,包河区
安徽省中医院名医堂,正常可达,蜀山区
桃花镇卫生院,正常可达,肥西县
延乔路医院,正常可达,肥西县
琥珀街道飞虹社区卫生服务站,正常可达,蜀山区
经开区海恒社区习友卫生服务站,正常可达,蜀山区
亳州路街道社区卫生服务中心,不可达,庐阳区
荷叶地街道社区卫生服务中心急诊,正常可达,蜀山区
五里墩街道青阳路社区卫生服务站,正常可达,蜀山区
金谷医院,不可达,庐阳区
合肥市包河区望江中路社区卫生服务中心科大花园社区卫生服务站,正常可达,包河区
安徽省人民政府机关医院,正常可达,庐阳区
蜀山区琥珀街道社区卫生服务中心(老址),正常可达,蜀山区
海恒福禄园社区卫生服务站,正常可达,蜀山区
四里河街道社区卫生服务中心,可达但受限,庐阳区
包公街道社区卫生服务中心,正常可达,包河区
包公街道青年西区社区卫生服务站,正常可达,包河区
庐阳区海棠街道社区卫生服务中心,不可达,庐阳区
合肥市第一人民医院临床教学中心,正常可达,庐阳区
肥西县桃花工业园社区卫生服务中心,正常可达,肥西县
合肥高新区长宁社区卫生服务中心,正常可达,蜀山区
南七街道丁香汽修社区卫生服务站,正常可达,蜀山区
合肥光明老年护理医院,正常可达,蜀山区
安徽医科大学第一附属医院柏堰院区,正常可达,肥西县
中国科学院临床研究医院(合肥)(装修中),正常可达,蜀山区
合肥市第一人民医院西区(暂停营业),正常可达,蜀山区
武警医院(南区)(暂停营业),正常可达,包河区
合肥市淝河镇社区卫生服务中心,正常可达,包河区
安徽医科大学第一附属医院高新院区,正常可达,蜀山区
合肥建安中医院,正常可达,包河区
逍遥津街道社区卫生服务中心,可达但受限,庐阳区
安徽建筑大学北校区校医院,正常可达,包河区
合肥包河区包公街道炳辉社区卫生服务站,正常可达,包河区
合肥经济技术开发区锦绣方兴社区卫生服务站,正常可达,蜀山区
亳州路街道古城社区卫生服务站,正常可达,庐阳区
岳西路医疗卫生服务站,正常可达,蜀山区
三孝口街道大夫第社区卫生服务站,不可达,庐阳区
包河区同安街道朱岗社区卫生服务站,正常可达,包河区
安徽中医药大学第一附属医院内科大楼,正常可达,蜀山区
首都医科大学附属北京安贞医院安徽医院,正常可达,蜀山区
五里墩街道家家景园社区卫生服务站,正常可达,蜀山区
锦绣社区卫生服务中心,正常可达,蜀山区
安徽中医药大学第一附属医院安徽省中医院双向转诊接诊处,正常可达,蜀山区
安徽医科大学第二附属医院爱婴医院,正常可达,蜀山区
小通社区医院,正常可达,蜀山区
仁医星中医连锁(合肥总店),正常可达,包河区
双岗街道高河埂社区卫生服务站,不可达,庐阳区
安徽中医药大学第一附属医院介入中心,正常可达,蜀山区
双岗街道小桥湾社区卫生服务站,不可达,庐阳区
安徽省中医院行管楼,正常可达,蜀山区
安徽医科大学第一附属医院临床研究医院,正常可达,蜀山区
合肥东南中医院,正常可达,蜀山区
合肥瑶海板桥医院,不可达,瑶海区
安徽中医药大学第一附属医院丹溪楼,正常可达,蜀山区
合肥市第二人民医院和平路院区,不可达,瑶海区
