name,lng,lat,address,tel,type
中国科学技术大学附属第一医院(南区),117.2494,31.814395,荷叶地街道天鹅湖路1号,0551-62283114;0551-62284132,综合医院
蜀山区荷叶地街道社区卫生服务中心,117.24065,31.821548,荷叶地路82号,0551-63506456,综合医院
笔架山街道社区卫生服务中心,117.219495,31.821902,高河西路和聚云峰路交口西北角,0551-65582916,综合医院
安徽省立医院南区2期,117.249386,31.813388,茗香路与花亭湖路交叉口东北140米,,综合医院
安徽医科大学第二附属医院,117.21241,31.790188,合肥经济技术开发区芙蓉路678号,0551-63869114;0551-63869420,综合医院
蜀山区南七街道社区卫生服务中心,117.240301,31.827287,洪岗路丁香家园2栋,0551-65770569;0551-65770636,综合医院
高新区兴园社区卫生服务中心,117.205035,31.817779,科学大道8号,,综合医院
合肥安中中医医院,117.246199,31.828393,南屏家园3幢102号,0551-64272688,综合医院
蜀山区西园街道社区卫生服务中心,117.247685,31.846312,贵池路9 号,0551-67192649,综合医院
中国人民解放军联勤保障部队第九〇一医院,117.24737,31.853909,长江西路424号,0551-65966510,综合医院
合肥光明医院,117.215123,31.84731,环湖东路572号,4000109099,综合医院
合肥市第三人民医院望江路院区,117.267442,31.830264,芜湖路街道望江东路204号,0551-63669024;0551-63669097,综合医院
稻香村街道社区卫生服务中心,117.253309,31.830337,望江西路102号华力大厦F1层,0551-63719209;0551-63719211,综合医院
合肥长淮中医医院,117.268335,31.841357,金寨路161号(中国科大东区地铁站C口步行420米),15555187705,综合医院
安徽医科大学第一附属医院绩溪路院区,117.267662,31.847151,绩溪路218号,0551-62922114;0551-62922406,综合医院
安徽中医药大学第一附属医院,117.260208,31.85348,梅山路117号,0551-62838605;0551-62838661,综合医院
高新区天乐社区卫生服务中心,117.201392,31.844525,天达路华亿科技园A1座,0551-62066531;0551-65322697,综合医院
安徽省红十字会医院,117.227648,31.852395,潜山北路259号(西七里塘地铁站C口旁),0551-65561333;0551-65584544,综合医院
中国科学技术大学东校区校医院,117.266039,31.833407,金寨路96号中国科学技术大学(本部东校区),0551-63600120;0551-63602739,综合医院
嘉和苑社区卫生服务站,117.238649,31.803747,嘉和苑社区,0551-63510478,综合医院
莲花社区卫生服务中心,117.236794,31.782143,经开区莲花社区芙蓉路512号汇林园小区芙蓉路段门面房,0551-63816311,综合医院
上海中医药大学附属曙光医院安徽医院,117.24365,31.862681,史河路45号,0551-62736702;0551-62736750,综合医院
蜀山区荷叶地社区医院,117.240884,31.821546,绿怡中路76号,,综合医院
国药中铁中心医院,117.274193,31.828842,南七里望江东路96号,0551-82574120;0551-82574457,综合医院
合肥经济技术开发区芙蓉社区卫生服务中心,117.199787,31.788235,芙蓉路与松林路交口芙蓉社区党群服务中心北侧楼,0551-63693109,综合医院
